Address,Address (AllAddressesCombined),Bldg Name,Bldg Name (AllAddressesCombined),Bldg No.,Bldg No. (AllAddressesCombined),City,City (AllAddressesCombined),Code,Code (AllAddressesCombined),GIS Comments,State,State (AllAddressesCombined),Zip,LatDiff,LongDiff
325 COLUMBIA TER,325 COLUMBIA TER,Alpha Gamma Delta Sorority,Alpha Gamma Delta Sorority,127,127,Lexington,Lexington,0,0,KY,KY,40508,40508,38.035486,-84.501936
323 COLUMBIA TER,323 COLUMBIA TER,Kappa Delta Sorority,Kappa Delta Sorority,128,128,Lexington,Lexington,0,0,KY,KY,40508,40508,38.035467,-84.501962
321 COLUMBIA TER,321 COLUMBIA TER,Delta Sigma Phi Fraternity,Delta Sigma Phi Fraternity,129,129,Lexington,Lexington,0,0,KY,KY,40508,40508,38.035667,-84.501469
419 HUGUELET DR,419 HUGUELET DR,Alpha Gamma Rho Fraternity,Alpha Gamma Rho Fraternity,137,137,Lexington,Lexington,0,0,KY,KY,40508,40508,38.033356,-84.506049
439 HUGUELET DR,439 HUGUELET DR,Phi Sigma Kappa Fraternity,Phi Sigma Kappa Fraternity,138,138,Lexington,Lexington,0,0,KY,KY,40508,40508,38.032557,-84.50512
440 HILLTOP AVE,440 HILLTOP AVE,The 90,The 90,139,139,Lexington,Lexington,1,1,KY,KY,40506,40506,38.032221,-84.502654
456 ROSE LN,456 ROSE LN,New Farmhouse Fraternity,New Farmhouse Fraternity,141,141,Lexington,Lexington,0,0,KY,KY,40506,40506,38.031834,-84.502641
763 WOODLAND AVE,763 WOODLAND AVE,Blanding II,Blanding II,143,143,Lexington,Lexington,0,0,KY,KY,40526,40526,38.031112,-84.500862
765 WOODLAND AVE,765 WOODLAND AVE,Blanding III,Blanding III,144,144,Lexington,Lexington,0,0,KY,KY,40526,40526,38.031101,-84.500877
769 WOODLAND AVE,769 WOODLAND AVE,Blanding Tower,Blanding Tower,145,145,Lexington,Lexington,0,0,KY,KY,40526,40526,38.03108,-84.500905
767 WOODLAND AVE,767 WOODLAND AVE,Blanding IV,Blanding IV,146,146,Lexington,Lexington,0,0,KY,KY,40526,40526,38.031091,-84.500891
770 WOODLAND AVE,770 WOODLAND AVE,Complex Commons,Complex Commons,147,147,Lexington,Lexington,0,0,KY,KY,40526,40526,38.031014,-84.50094
756 WOODLAND AVE,756 WOODLAND AVE,Kirwan IV,Kirwan IV,148,148,Lexington,Lexington,0,0,KY,KY,40526,40526,38.03106,-84.500878
758 WOODLAND AVE,758 WOODLAND AVE,Kirwan Tower,Kirwan Tower,149,149,Lexington,Lexington,0,0,KY,KY,40526,40526,38.029441,-84.502532
754 WOODLAND AVE,754 WOODLAND AVE,Kirwan III,Kirwan III,150,150,Lexington,Lexington,0,0,KY,KY,40526,40526,38.031067,-84.500869
752 WOODLAND AVE,752 WOODLAND AVE,Kirwan II,Kirwan II,151,151,Lexington,Lexington,0,0,KY,KY,40526,40526,38.031073,-84.50086
750 WOODLAND AVE,750 WOODLAND AVE,Kirwan I,Kirwan I,152,152,Lexington,Lexington,0,0,KY,KY,40526,40526,38.03108,-84.500851
761 WOODLAND AVE,761 WOODLAND AVE,Blanding I,Blanding I,153,153,Lexington,Lexington,0,0,KY,KY,40526,40526,38.031122,-84.500848
150 HOSPITAL DR,150 HOSPITAL DR,Head House,Head House,154,154,Lexington,Lexington,0,0,KY,KY,40546,40546,38.0316,-84.508214
150 HOSPITAL DR,150 HOSPITAL DR,Greenhouse No 2,Greenhouse No 2,155,155,Lexington,Lexington,0,0,KY,KY,40546,40546,38.0316,-84.508214
150 HOSPITAL DR,150 HOSPITAL DR,Greenhouse No 4,Greenhouse No 4,156,156,Lexington,Lexington,0,0,KY,KY,40546,40546,38.0316,-84.508214
150 HOSPITAL DR,150 HOSPITAL DR,Greenhouse No 7,Greenhouse No 7,157,157,Lexington,Lexington,0,0,KY,KY,40546,40546,38.0316,-84.508214
150 HOSPITAL DR,150 HOSPITAL DR,Greenhouse No 5,Greenhouse No 5,158,158,Lexington,Lexington,0,0,KY,KY,40546,40546,38.0316,-84.508214
150 HOSPITAL DR,150 HOSPITAL DR,Greenhouse No 3,Greenhouse No 3,159,159,Lexington,Lexington,0,0,KY,KY,40546,40546,38.0316,-84.508214
150 HOSPITAL DR,150 HOSPITAL DR,Greenhouse No 1,Greenhouse No 1,160,160,Lexington,Lexington,0,0,KY,KY,40546,40546,38.0316,-84.508214
150 HOSPITAL DR,150 HOSPITAL DR,Greenhouse No 9,Greenhouse No 9,161,161,Lexington,Lexington,0,0,KY,KY,40546,40546,38.0316,-84.508214
150 HOSPITAL DR,150 HOSPITAL DR,Greenhouse No 11,Greenhouse No 11,162,162,Lexington,Lexington,0,0,KY,KY,40546,40546,38.0316,-84.508214
150 HOSPITAL DR,150 HOSPITAL DR,Greenhouse No 6,Greenhouse No 6,163,163,Lexington,Lexington,0,0,KY,KY,40546,40546,38.0316,-84.508214
150 HOSPITAL DR,150 HOSPITAL DR,Greenhouse No 12,Greenhouse No 12,164,164,Lexington,Lexington,0,0,KY,KY,40546,40546,38.0316,-84.508214
106 CONN TERRACE,106 CONN TERRACE,106 CONN TERRACE,106 CONN TERRACE,165,165,Lexington,Lexington,0,0,KY,KY,40503,40503,38.030774,-84.510807
520 SOUTH LIMESTONE ST,520 SOUTH LIMESTONE ST,Gatehouse ADMINISTRATION DR.,Gatehouse ADMINISTRATION DR.,166,166,Lexington,Lexington,0,0,KY,KY,40506,40506,38.038748,-84.506832
525 ROSE ST,525 ROSE ST,Gatehouse Rose & Chem/Physics,Gatehouse Rose & Chem/Physics,167,167,Lexington,Lexington,0,0,KY,KY,40506,40506,38.034656,-84.504301
1505 COLLEGE WAY,1505 COLLEGE WAY,Motor Pool Storage Shed,Motor Pool Storage Shed,168,168,Lexington,Lexington,0,0,KY,KY,40506,40506,,
