Incident Description,Full Address,City,State,Country,category,Crime Date and Time,Attribute,Disposition,Location,Case number,Body Value,Field Log Category Value,Field Log Disposition Value,Field Log Location Value
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,3/1/2015 21:30,3,Closed,1000 SOUTH LIMESTONE ST,20150551,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,3/2/2015 19:00,3,Closed,1000 SOUTH LIMESTONE ST,20150582,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,740 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,3/2/2015 22:30,3,Open,740 SOUTH LIMESTONE ST,20150545,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Open,740 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,140 PATTERSON DR  ,Lexington,Kentucky,United States of America,Theft,3/3/2015 1:00,3,Closed,140 PATTERSON DR,20150550,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,140 PATTERSON DR
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,3/3/2015 11:45,3,Closed,310 SOUTH LIMESTONE ST,20150560,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,310 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,180 AVENUE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Theft,3/3/2015 17:00,3,Closed,180 AVENUE OF CHAMPIONS,20150555,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,180 AVENUE OF CHAMPIONS
TBUT OR DISP PARTS FROM VEHICLE UNDER $500/M ,110 TRANSCRIPT AVE  ,Lexington,Kentucky,United States of America,Theft,3/4/2015 20:12,3,Open,110 TRANSCRIPT AVE,20150564,TBUT OR DISP PARTS FROM VEHICLE UNDER $500/M ,Theft,Open,110 TRANSCRIPT AVE
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",430 COMPLEX DR  ,Lexington,Kentucky,United States of America,Theft,3/4/2015 23:30,3,Closed,430 COMPLEX DR,20150567,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Closed,430 COMPLEX DR
TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,635 MAXWELTON CT  ,Lexington,Kentucky,United States of America,Theft,3/7/2015 6:00,3,Closed Lexington Police Report,635 MAXWELTON CT,2015036091,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,Theft,Closed Lexington Police Report,635 MAXWELTON CT
"RECEIVING STOLEN PROPERTY U/$500/M, THEFT OF IDENTITY OF ANOTHER W/O CONSENT/F, THEFT-RECEIPT OF STOLEN CREDIT/DEBIT CARD (1 CARD)/M",695 WINNIE ST  ,Lexington,Kentucky,United States of America,Theft,3/7/2015 21:00,3,Open,695 WINNIE ST,20150611,"RECEIVING STOLEN PROPERTY U/$500/M, THEFT OF IDENTITY OF ANOTHER W/O CONSENT/F, THEFT-RECEIPT OF STOLEN CREDIT/DEBIT CARD (1 CARD)/M",Theft,Open,695 WINNIE ST
