Incident Description,Full Address,City,State,Country,category,Crime Date and Time,Attribute,Disposition,Location,Case number,Body Value,Field Log Category Value,Field Log Disposition Value,Field Log Location Value
TBUT OR DISP FROM BUILDING U/$500,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,9/12/2015 10:00,9,Open,1000 SOUTH LIMESTONE ST,20152135,TBUT OR DISP FROM BUILDING U/$500,Theft,Open,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,9/14/2015 0:00,9,Open,310 SOUTH LIMESTONE ST,20152095,TBUT OR DISP FROM BUILDING U/$500,Theft,Open,310 SOUTH LIMESTONE ST
"TBUT OR DISP CONTENTS FROM VEHICLE U/$500/M, CRIMINAL MISCHIEF 3RD/M",1540 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Theft,9/15/2015 23:00,9,Closed,1540 UNIVERSITY DR,20152134,"TBUT OR DISP CONTENTS FROM VEHICLE U/$500/M, CRIMINAL MISCHIEF 3RD/M",Theft,Closed,1540 UNIVERSITY DR
Theft of Mail Matter,740 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,9/16/2015 18:45,9,Open,740 WOODLAND AVE,20152124,Theft of Mail Matter,Theft,Open,740 WOODLAND AVE
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,9/17/2015 11:00,9,Closed,310 SOUTH LIMESTONE ST,20152140,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,310 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,9/17/2015 11:24,9,Closed,800 ROSE ST,20152398,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,800 ROSE ST
TBUT  or DISP BICYCLES U/$500/M,745 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,9/17/2015 16:15,9,Open,745 ROSE ST,20152130,TBUT  or DISP BICYCLES U/$500/M,Theft,Open,745 ROSE ST
"TBUT OR DISP BICYCLES U/$500/M, CRIMINAL MISCHIEF 3RD/M",1401 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Theft,9/19/2015 22:00,9,Closed,1401 SPORTS CENTER DR,20152335,"TBUT OR DISP BICYCLES U/$500/M, CRIMINAL MISCHIEF 3RD/M",Theft,Closed,1401 SPORTS CENTER DR
TBUT OR DISP ALL OTHERS U/$500/M,1540 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Theft,9/19/2015 23:30,9,Closed,1540 UNIVERSITY DR,20152169,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Closed,1540 UNIVERSITY DR
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,1540 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Theft,9/20/2015 1:20,9,Open,1540 UNIVERSITY DR,20152156,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Open,1540 UNIVERSITY DR
"TBUT OR DISP POCKETPICKING $500 OR MORE BUT U/$10,000/F",1540 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Theft,9/20/2015 1:20,9,Open,1540 UNIVERSITY DR,20152157,"TBUT OR DISP POCKETPICKING $500 OR MORE BUT U/$10,000/F",Theft,Open,1540 UNIVERSITY DR
"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",110 TRANSCRIPT AVE  ,Lexington,Kentucky,United States of America,Theft,9/20/2015 12:30,9,Open,110 TRANSCRIPT AVE,20152173,"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",Theft,Open,110 TRANSCRIPT AVE
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,9/20/2015 19:30,9,Open,800 ROSE ST,20152163,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,800 ROSE ST
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,9/22/2015 23:00,9,Open,310 SOUTH LIMESTONE ST,20152195,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,310 SOUTH LIMESTONE ST
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",361 HUGUELET DR  ,Lexington,Kentucky,United States of America,Theft,9/23/2015 2:00,9,Closed,361 HUGUELET DR,20152210,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Closed,361 HUGUELET DR
TBUT ORDISP BICYCLES U/$500/M,725 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,9/23/2015 14:00,9,Open,725 ROSE ST,20152192,TBUT ORDISP BICYCLES U/$500/M,Theft,Open,725 ROSE ST
TBUT OR DISP BICYCLES U/$500/M,725 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,9/23/2015 14:00,9,Closed,725 ROSE ST,20152194,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,725 ROSE ST
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,505 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,9/23/2015 15:00,9,Open,505 ROSE ST,20152191,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Open,505 ROSE ST
TBUT OR DISP BICYCLES U/$500/M,725 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,9/24/2015 14:50,9,Closed,725 ROSE ST,20152206,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,725 ROSE ST
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",401 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,9/24/2015 17:55,9,Open,401 HILLTOP AVE,20152199,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Open,401 HILLTOP AVE
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",167 FUNKHOUSER DR  ,Lexington,Kentucky,United States of America,Theft,9/24/2015 21:00,9,Open,167 FUNKHOUSER DR,20152205,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Open,167 FUNKHOUSER DR
TBUT FROM BUILDING,1358 BULL LEA RD  ,Lexington,Kentucky,United States of America,Theft,9/25/2015 21:45,9,Closed CSA,1358 BULL LEA RD,CSA20150927,TBUT FROM BUILDING,Theft,Closed CSA,1358 BULL LEA RD
TBUT OR DISP - FIREARM/F,333 WALLER AVE  ,Lexington,Kentucky,United States of America,Theft,9/26/2015 22:30,9,Closed Lexington Police Report,333 WALLER AVE,2015166558,TBUT OR DISP - FIREARM/F,Theft,Closed Lexington Police Report,333 WALLER AVE
"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",1540 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Theft,9/27/2015 3:00,9,Closed,1540 UNIVERSITY DR,20152219,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",Theft,Closed,1540 UNIVERSITY DR
TBUT OR DISP ALL OTHERS U/$500/M,1540 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Theft,9/27/2015 3:30,9,Closed Lexington Police Report,1540 UNIVERSITY DR,2015167343,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Closed Lexington Police Report,1540 UNIVERSITY DR
TBUT OR DISP BICYCLES U/$500/M,725 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,9/28/2015 16:53,9,Open,725 ROSE ST,20152225,TBUT OR DISP BICYCLES U/$500/M,Theft,Open,725 ROSE ST
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,9/29/2015 0:34,9,Closed,800 ROSE ST,20152229,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,800 ROSE ST
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,9/29/2015 10:00,9,Closed,800 ROSE ST,20152268,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,800 ROSE ST
TBUT OR DISP FROM BUILDING,705 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Theft,9/30/2015 1:50,9,Closed Disciplinary Referral,705 SPORTS CENTER DR,CSA20150997,TBUT OR DISP FROM BUILDING,Theft,Closed Disciplinary Referral,705 SPORTS CENTER DR
TBUT OR DISP FROM BUILDING U/$500/M,740 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,9/30/2015 14:00,9,Closed,740 SOUTH LIMESTONE ST,20152246,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,740 SOUTH LIMESTONE ST
TBUT OR DISP BICYCLES U/$500/M,725 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,9/30/2015 16:00,9,Unfounded,725 ROSE ST,20152245,TBUT OR DISP BICYCLES U/$500/M,Theft,Unfounded,725 ROSE ST
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",1100 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,9/30/2015 21:00,9,Open,1100 SOUTH LIMESTONE ST,20152256,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Open,1100 SOUTH LIMESTONE ST
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,465 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,10/1/2015 0:30,10,Closed,465 ROSE ST,20152261,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed,465 ROSE ST
TBUT OR DISP BICYCLES U/$500/M,1435 NICHOLASVILLE RD  ,Lexington,Kentucky,United States of America,Theft,10/1/2015 4:00,10,Closed,1435 NICHOLASVILLE RD,20152298,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,1435 NICHOLASVILLE RD
THEFT BY DECEPTION - INCLUDE COLD CHECKS U/$500/M,440 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,10/1/2015 16:15,10,Closed,440 HILLTOP AVE,20152267,THEFT BY DECEPTION - INCLUDE COLD CHECKS U/$500/M,Theft,Closed,440 HILLTOP AVE
TBUT OR DISP PARTS FROM VEHICLE UNDER $500/M,845 ANGLIANA AVE  ,Lexington,Kentucky,United States of America,Theft,10/2/2015 23:19,10,Open,845 ANGLIANA AVE,20152319,TBUT OR DISP PARTS FROM VEHICLE UNDER $500/M,Theft,Open,845 ANGLIANA AVE
TBUT OR DISP ALL OTHERS U/$500/M,325 HUGUELET DR  ,Lexington,Kentucky,United States of America,Theft,10/3/2015 2:00,10,Open,325 HUGUELET DR,20152310,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Open,325 HUGUELET DR
THEFT OF SERVICES/M,1789 TATES CREEK RD  ,Lexington,Kentucky,United States of America,Theft,10/3/2015 18:00,10,Open,1789 TATES CREEK RD,20152308,THEFT OF SERVICES/M,Theft,Open,1789 TATES CREEK RD
"CRIMINAL MISCHIEF 3RD/M, TBUT OR DISP FROM BUILDING U/$500/M",1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,10/3/2015 20:40,10,Closed,1000 SOUTH LIMESTONE ST,20152287,"CRIMINAL MISCHIEF 3RD/M, TBUT OR DISP FROM BUILDING U/$500/M",Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,770 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,10/5/2015 13:00,10,Closed,770 WOODLAND AVE,20152295,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,770 WOODLAND AVE
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,10/6/2015 10:30,10,Closed,1000 SOUTH LIMESTONE ST,20152315,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
"TBUT OR DISP ALL OTHERS, CRIMINAL MISCHIEF ",462 ROSE LN  ,Lexington,Kentucky,United States of America,Theft,10/8/2015 4:00,10,Closed CSA,462 ROSE LN,CSA20151017,"TBUT OR DISP ALL OTHERS, CRIMINAL MISCHIEF ",Theft,Closed CSA,462 ROSE LN
TBUT OR DISP FROM BUILDING,650 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,10/9/2015 5:42,10,Closed Disciplinary Referral,650 WOODLAND AVE,CSA20151018,TBUT OR DISP FROM BUILDING,Theft,Closed Disciplinary Referral,650 WOODLAND AVE
TBUT OR DISP FROM BUILDING U/$500/M,2355 HUGUENARD DR  ,Lexington,Kentucky,United States of America,Theft,10/9/2015 20:30,10,Open,2355 HUGUENARD DR,20152375,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,2355 HUGUENARD DR
"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,10/10/2015 22:00,10,Closed,310 SOUTH LIMESTONE ST,20152671,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",Theft,Closed,310 SOUTH LIMESTONE ST
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",401 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,10/14/2015 3:35,10,Open,401 HILLTOP AVE,20152372,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Open,401 HILLTOP AVE
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Theft,10/14/2015 4:00,10,Closed,UNIVERSITY DR,20152376,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed,UNIVERSITY DR
TBUT OR DISP CONTENTS FROM AUTO,EAST MAXWELL ST & ROSE ST  ,Lexington,Kentucky,United States of America,Theft,10/14/2015 4:00,10,Closed CSA,EAST MAXWELL ST & ROSE ST,CSA20151027,TBUT OR DISP CONTENTS FROM AUTO,Theft,Closed CSA,EAST MAXWELL ST & ROSE ST
"TBUT OR DISP ALL OTHERS U/$500/M, FRAUD USE OF CREDIT CARD $500 < $10,000/F",1540 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Theft,10/15/2015 20:00,10,Open,1540 UNIVERSITY DR,20152397,"TBUT OR DISP ALL OTHERS U/$500/M, FRAUD USE OF CREDIT CARD $500 < $10,000/F",Theft,Open,1540 UNIVERSITY DR
TBUT OR DISP ALL OTHERS U/$500/M,1540 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Theft,10/16/2015 1:00,10,Closed,1540 UNIVERSITY DR,20152391,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Closed,1540 UNIVERSITY DR
TBUT OR DISP ALL OTHERS U/$500/M,1540 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Theft,10/16/2015 4:00,10,Closed,1540 UNIVERSITY DR,20152394,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Closed,1540 UNIVERSITY DR
THEFT OF IDENTITY OF ANOTHER W/O CONSENT/F,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,10/16/2015 16:00,10,Open,1000 SOUTH LIMESTONE ST,20152977,THEFT OF IDENTITY OF ANOTHER W/O CONSENT/F,Theft,Open,1000 SOUTH LIMESTONE ST
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",405 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,10/19/2015 0:45,10,Unfounded,405 ROSE ST,20152415,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Unfounded,405 ROSE ST
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,1540 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Theft,10/19/2015 12:00,10,Closed,1540 UNIVERSITY DR,20152419,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed,1540 UNIVERSITY DR
TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,WARREN CT  ,Lexington,Kentucky,United States of America,Theft,10/19/2015 18:15,10,Closed,WARREN CT,20152420,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,Theft,Closed,WARREN CT
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",401 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,10/20/2015 1:20,10,Closed,401 HILLTOP AVE,20152421,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Closed,401 HILLTOP AVE
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,10/20/2015 21:00,10,Closed,310 SOUTH LIMESTONE ST,20152515,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,310 SOUTH LIMESTONE ST
TBUT OR DISP PARTS FROM VEHICLE UNDER $500/M,2195 HARRODSBURG RD  ,Lexington,Kentucky,United States of America,Theft,10/21/2015 11:15,10,Closed,2195 HARRODSBURG RD,20152441,TBUT OR DISP PARTS FROM VEHICLE UNDER $500/M,Theft,Closed,2195 HARRODSBURG RD
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",401 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,10/22/2015 20:45,10,Open,401 HILLTOP AVE,20152453,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Open,401 HILLTOP AVE
TBUT OR DISP BICYCLES U/$500/M,650 WOODLAND AVE  ,Lexington,Kentucky,United States of America,Theft,10/22/2015 23:00,10,Open,650 WOODLAND AVE,20152456,TBUT OR DISP BICYCLES U/$500/M,Theft,Open,650 WOODLAND AVE
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",635 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,10/23/2015 19:00,10,Open,635 SOUTH LIMESTONE ST,20152463,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Open,635 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,10/23/2015 19:00,10,Closed,310 SOUTH LIMESTONE ST,20152517,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,310 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,10/24/2015 5:00,10,Closed,800 ROSE ST,20152472,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,800 ROSE ST
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",800 Rose Street  ,Lexington,Kentucky,United States of America,Theft,10/26/2015 12:00,10,Open,800 Rose Street,20152643,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",Theft,Open,800 Rose Street
TBUT OR DISP FROM BUILDING U/$500/M,900 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,10/26/2015 19:00,10,Open,900 SOUTH LIMESTONE ST,20152493,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,900 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,10/27/2015 9:00,10,Closed,1000 SOUTH LIMESTONE ST,20152500,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,10/27/2015 12:30,10,Closed,310 SOUTH LIMESTONE ST,20152514,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed,310 SOUTH LIMESTONE ST
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F, FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M",1210 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Theft,10/27/2015 21:15,10,Open,1210 UNIVERSITY DR,20152508,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F, FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M",Theft,Open,1210 UNIVERSITY DR
"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,10/29/2015 4:01,10,Closed,800 ROSE ST,20152524,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",Theft,Closed,800 ROSE ST
TBUT OR DISP FROM BUILDING U/$500/M,550 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,10/30/2015 0:30,10,Open,550 SOUTH LIMESTONE ST,20152525,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,550 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,401 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,10/30/2015 2:30,10,Open,401 HILLTOP AVE,20152532,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,401 HILLTOP AVE
TBUT OR DISP ALL OTHERS U/$500; FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,10/31/2015 18:30,10,Closed,800 ROSE ST,20152550,TBUT OR DISP ALL OTHERS U/$500; FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD,Theft,Closed,800 ROSE ST
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",310 SOUTH LIMESTONE  ,Lexington,Kentucky,United States of America,Theft,10/31/2015 20:00,10,Cleared By Arrest,310 SOUTH LIMESTONE,20152614,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Cleared By Arrest,310 SOUTH LIMESTONE
"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",1540 UNIVERSITY DR  ,Lexington,Kentucky,United States of America,Theft,10/31/2015 23:45,10,Closed,1540 UNIVERSITY DR,20152556,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",Theft,Closed,1540 UNIVERSITY DR
TBUT OR DISP BICYCLES U/$500/M,326 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Theft,11/1/2015 13:00,11,Open,326 SOUTH MARTIN LUTHER KING BLVD,20152622,TBUT OR DISP BICYCLES U/$500/M,Theft,Open,326 SOUTH MARTIN LUTHER KING BLVD
"TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M, CRIMINAL MISCHIEF 3RD DEGREE/M",301 HILLTOP AVENUE  ,Lexington,Kentucky,United States of America,Theft,11/1/2015 20:30,11,Closed,301 HILLTOP AVENUE,20152570,"TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M, CRIMINAL MISCHIEF 3RD DEGREE/M",Theft,Closed,301 HILLTOP AVENUE
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,11/2/2015 4:30,11,Closed,1000 SOUTH LIMESTONE ST,20152574,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
THEFT,"1205 HOPKINSVILLE ST, PRINCETON   ",Lexington,Kentucky,United States of America,Theft,11/2/2015 13:00,11,Closed CSA,"1205 HOPKINSVILLE ST, PRINCETON KY",CSA20151145,THEFT,Theft,Closed CSA,"1205 HOPKINSVILLE ST, PRINCETON KY"
TBUT OR DISP FROM BUILDING U/$500,1000 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,11/2/2015 17:00,11,Open,1000 SOUTH LIMESTONE STREET,20152645,TBUT OR DISP FROM BUILDING U/$500,Theft,Open,1000 SOUTH LIMESTONE STREET
TBUT OR DISP ALL OTHERS U/$500/M,AVENUE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Theft,11/2/2015 20:00,11,Closed,AVENUE OF CHAMPIONS,20152579,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Closed,AVENUE OF CHAMPIONS
"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",411 SOUTH LIMESTONE  ,Lexington,Kentucky,United States of America,Theft,11/3/2015 18:00,11,Open,411 SOUTH LIMESTONE,20152586,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F",Theft,Open,411 SOUTH LIMESTONE
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,COOPER DR  ,Lexington,Kentucky,United States of America,Theft,11/3/2015 22:54,11,Closed,COOPER DR,20152588,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed,COOPER DR
THEFT OR PROP MISLAID OR DELIVER BY MISTAKE/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,11/4/2015 20:30,11,Closed,800 ROSE ST,20152600,THEFT OR PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed,800 ROSE ST
TBUT OR DISP BICYCLES U/$500/M,344 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Theft,11/5/2015 5:05,11,Closed,344 SOUTH MARTIN LUTHER KING BLVD,20152605,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,344 SOUTH MARTIN LUTHER KING BLVD
TBUT OR DISP SHOPLIFTING U/$500/M X2,334 LEXINGTON AVE  ,Lexington,Kentucky,United States of America,Theft,11/5/2015 19:00,11,Citation Issued,334 LEXINGTON AVE,20152609,TBUT OR DISP SHOPLIFTING U/$500/M X2,Theft,Citation Issued,334 LEXINGTON AVE
"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",610 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,11/5/2015 20:15,11,Closed,610 SOUTH LIMESTONE ST,20152610,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",Theft,Closed,610 SOUTH LIMESTONE ST
TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500,1540 UNIVERSITY DRIVE  ,Lexington,Kentucky,United States of America,Theft,11/6/2015 3:30,11,Closed,1540 UNIVERSITY DRIVE,20152648,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500,Theft,Closed,1540 UNIVERSITY DRIVE
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,11/6/2015 10:00,11,Closed,310 SOUTH LIMESTONE ST,20152621,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,310 SOUTH LIMESTONE ST
TBUT OR DISP ALL OTHERS U/$500/M,140 PATTERSON DR  ,Lexington,Kentucky,United States of America,Theft,11/6/2015 15:30,11,Closed,140 PATTERSON DR,20152616,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Closed,140 PATTERSON DR
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,160 FUNKHOUSER DR  ,Lexington,Kentucky,United States of America,Theft,11/6/2015 21:00,11,Open,160 FUNKHOUSER DR,20152637,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Open,160 FUNKHOUSER DR
"THEFT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,11/8/2015 1:00,11,Open,310 SOUTH LIMESTONE ST,20152652,"THEFT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",Theft,Open,310 SOUTH LIMESTONE ST
