Category,Case Number,Crime Date and Time,Report Date,Country,State,City,Location,Incident Description,Residential Occurance,Disposition
Theft,20133046,11/06/2013 - 11:15pm,11/6/2013,United States,Kentucky,Lexington,430 COMPLEX DR,TBUT OR DISP FROM BUILDING/F,No,Closed
Theft,20133030,10/29/2013 - 10:20am,11/5/2013,United States,Kentucky,Lexington,830 SOUTH LIMESTONE ST,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Closed
Theft,20133031,10/29/2013 - 4:20pm,11/5/2013,United States,Kentucky,Lexington,830 SOUTH LIMESTONE ST,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Closed
Theft,20133022,11/04/2013 - 12:10pm,11/4/2013,United States,Kentucky,Lexington,830 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,20133021,11/02/2013 - 7:30pm,11/4/2013,United States,Kentucky,Lexington,1540 UNIVERSITY DR,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Closed
Theft,20133023,11/02/2013 - 3:00pm,11/4/2013,United States,Kentucky,Lexington,460 COOPER DR,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Open
Theft,20133018,10/30/2013 - 8:00am,11/4/2013,United States,Kentucky,Lexington,401 HILLTOP AVE,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Open
Theft,20133026,11/04/2013 - 6:00pm,11/4/2013,United States,Kentucky,Lexington,404 ADMINISTRATION DR,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Closed
Theft,CSA20130021,11/01/2013 - 12:00am,11/3/2013,United States,Kentucky,Lexington,597 SOUTH UPPER ST,TBUT FROM BUILDING/M,No,Closed - CSA
Theft,20133005,11/02/2013 - 2:00pm,11/2/2013,United States,Kentucky,Lexington,405 ROSE ST,THEFT BY DECEPTION - INCLUDE COLD CHECKS U/$500/M,No,Closed
